source_row,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
58,2.291389817,-3.905718536,-0.5115156283,-3.02504731,0.4867681909,0.6027542605,0.7333315465,-1.083347852,-0.7465915032,-0.1228629168
59,2.181795442,-4.434579741,0.2438280644,-1.369795285,-0.8618962346,-0.4404011145,-0.03433049398,-1.604675534,0.05668873073,-0.2036891601
60,5.213830937,-1.237911997,-0.6249614583,-1.785399747,0.3608251063,-0.364355012,1.518257104,1.649273909,1.503158822,-1.607679053
61,2.04537094,-0.9041704067,-1.393398455,-4.029705232,-0.4185589774,-0.2341509339,0.8877000362,-0.6332347081,-0.4170721121,-0.3600755278
62,3.435791639,-3.056800063,-0.5736135304,-3.301617578,0.8648653218,-1.319218558,-0.1408830915,0.9884030247,1.982042028,-1.140258557
63,5.532384131,-0.3133596664,-1.140094063,-3.981982169,0.5557515744,0.2765186158,0.7725453421,0.3902404784,-0.3262316127,-0.7237558509
64,4.9033143,-2.878185777,-0.5629885225,-2.532497401,0.8834269029,-0.8786138753,0.8317654308,1.331937509,0.5783797157,-0.8362096136
65,4.996699401,-3.361479881,-0.8332361383,-2.487348111,-0.1547870261,0.3524622409,0.6701317897,1.257642523,1.041108508,-0.6009270745
66,3.766077119,1.484938578,-3.375185812,2.526473864,0.04487398639,-0.1981173007,2.229295625,-0.6145906108,-2.028048085,1.106533402
67,0.9718606942,-3.0426219,-3.576995008,1.359503748,0.719176547,1.11689315,1.248363748,1.399241584,-2.1678861,0.06248886418
68,1.368690726,-3.042255046,-3.353197971,0.1883238495,1.517574504,-1.202807488,2.213322046,0.1265558154,-1.900431933,1.332250309
69,2.906455545,-0.4492794845,-2.351399242,3.263733941,1.455938975,-1.43788758,0.8841714145,-0.1582241258,-1.931350681,0.5171546746
70,2.592636732,-2.844721041,-1.883505427,1.676992344,1.346629377,0.6958785663,2.320402161,0.2805664874,-2.628661895,0.7141954116
71,-0.00137940327,-1.467337206,-2.236364633,0.4301785453,2.529637902,-1.850562587,0.9357316566,1.505047686,-3.02298569,0.6070176372
72,-2.339858207,1.938739503,-1.849074816,0.1938354941,-1.542669371,-1.256398932,1.260435585,-1.465466261,0.9514140124,-0.533214136
73,-3.41890196,1.47035572,-2.52975933,-0.7510637483,-0.383274741,-1.38732043,-0.6097494582,-0.4618131051,2.693361171,-0.2939250702
74,-5.071580277,-0.5868155343,-1.684008835,-0.564022096,-0.9468007263,-1.399859513,-0.9820023315,-0.4551792371,2.531552864,-0.3254678101
75,-3.820963491,0.6345205654,-2.195256226,-0.7137872643,-1.353241886,-1.652877758,0.7760848056,-1.394227881,-0.8162126207,-0.2780782754
76,-4.55836779,0.6386148276,-1.954132665,-0.3196381724,-0.6423668031,-0.9520098129,-0.3986807091,-0.4072426865,1.449852277,-0.2425582176
77,-4.054145953,0.4208864515,-1.241830878,-1.39904548,-0.8890481463,-0.9201480985,0.06666743844,-0.8142911231,0.8590369979,-0.04278418328
78,6.324913894,4.840953645,2.298676816,3.632621055,2.514881114,-3.896337024,-1.181774997,2.82461746,0.2275913916,1.808261047
79,6.521142566,4.38008182,1.03837468,3.067108413,2.998966158,-3.666354992,-0.433981131,0.4138713849,1.111048472,1.771175023
80,4.34389359,0.854937485,0.6903682577,2.821475118,1.876906585,-0.3122483368,-0.1217979373,2.118435295,-0.2665474817,2.698067151
81,6.387404354,4.836954279,1.903628893,2.842974534,0.6289050976,-0.3980808564,0.5012610135,2.363674784,-0.2976623202,1.304448607
82,7.114608958,5.032206869,4.011990045,2.220902234,1.785021728,-2.026407631,0.3907090723,3.170619704,-0.6297707241,0.4120161871
83,5.062380169,5.863159631,1.901288656,1.580151936,1.851540421,-2.096980664,-0.3519076402,0.7034718014,-0.3669319371,1.989296161
84,0.09501520018,0.9462164892,-1.953612075,-2.740989692,-2.761377258,-1.890393073,-2.882767431,-0.3334169339,-0.1343408308,-0.08612591275
85,-1.634594103,-0.5375482222,-0.5593763845,-2.912334273,-3.085171977,-2.818250981,-2.255436599,-0.4865488139,0.3053401889,0.6675871361
86,1.444043964,1.015364672,-1.170817988,-1.943173047,-3.175630229,-0.711040545,-1.154205753,-0.2033700769,-0.2898200796,0.5044075429
87,2.434745848,6.84468327,-6.988321967,-6.041124401,0.9281227991,-0.3077507622,-1.766956594,0.1802615573,-1.949311036,-0.392253644
88,0.240967133,0.721468285,-1.952768973,-2.167109666,-3.559589601,-1.363609635,-1.972683258,0.3834074737,-2.213982798,-0.535081569
89,-0.2039575524,-0.6540043211,-2.006757709,-2.799325692,-1.982659018,-0.3684863389,-2.515626443,0.4508805683,-1.941260872,-0.4754554594
90,6.024346598,1.083314304,-0.5404159884,2.809113161,0.5578334369,1.313112178,-0.4960597997,2.767455319,-1.196558218,-2.212977139
